Date,City,Petrol_Price,Diesel_Price
2025-10-03,Kolkata,105.41,92.02
2025-10-03,Mumbai,103.5,90.03
2025-10-02,Chennai,100.8,92.39
2025-10-02,Delhi,94.77,87.67
2025-10-02,Kolkata,105.41,92.02
2025-10-02,Mumbai,103.5,90.03
2025-10-01,Chennai,100.8,92.39
2025-10-01,Delhi,94.77,87.67
2025-10-01,Kolkata,105.41,92.02
2025-10-01,Mumbai,103.5,90.03
2025-09-30,Chennai,100.8,92.39
2025-09-30,Delhi,94.77,87.67
2025-09-30,Kolkata,105.41,92.02
2025-09-30,Mumbai,103.5,90.03
2025-09-29,Chennai,100.8,92.39
2025-09-29,Delhi,94.77,87.67
2025-09-29,Kolkata,105.41,92.02
2025-09-29,Mumbai,103.5,90.03
2025-09-28,Chennai,100.8,92.39
2025-09-28,Delhi,94.77,87.67
2025-09-28,Kolkata,105.41,92.02
2025-09-28,Mumbai,103.5,90.03
2025-09-27,Chennai,100.8,92.39
2025-09-27,Delhi,94.77,87.67
2025-09-27,Kolkata,105.41,92.02
2025-09-27,Mumbai,103.5,90.03
2025-09-26,Chennai,100.8,92.39
2025-09-26,Delhi,94.77,87.67
2025-09-26,Kolkata,105.41,92.02
2025-09-26,Mumbai,103.5,90.03
2025-09-25,Chennai,100.8,92.39
2025-09-25,Delhi,94.77,87.67
2025-09-25,Kolkata,105.41,92.02
2025-09-25,Mumbai,103.5,90.03
2025-09-24,Chennai,100.8,92.39
2025-09-24,Delhi,94.77,87.67
2025-09-24,Kolkata,105.41,92.02
2025-09-24,Mumbai,103.5,90.03
2025-09-23,Chennai,100.8,92.39
2025-09-23,Delhi,94.77,87.67
2025-09-23,Kolkata,105.41,92.02
2025-09-23,Mumbai,103.5,90.03
2025-09-22,Chennai,100.8,92.39
2025-09-22,Delhi,94.77,87.67
2025-09-22,Kolkata,105.41,92.02
2025-09-22,Mumbai,103.5,90.03
2025-09-21,Chennai,100.8,92.39
2025-09-21,Delhi,94.77,87.67
2025-09-21,Kolkata,105.41,92.02
2025-09-21,Mumbai,103.5,90.03
2025-09-20,Chennai,100.8,92.39
2025-09-20,Delhi,94.77,87.67
2025-09-20,Kolkata,105.41,92.02
2025-09-20,Mumbai,103.5,90.03
2025-09-19,Chennai,100.8,92.39
2025-09-19,Delhi,94.77,87.67
2025-09-19,Kolkata,105.41,92.02
2025-09-19,Mumbai,103.5,90.03
2025-09-18,Chennai,100.8,92.39
2025-09-18,Delhi,94.77,87.67
2025-09-18,Kolkata,105.41,92.02
2025-09-18,Mumbai,103.5,90.03
2025-09-17,Chennai,100.8,92.39
2025-09-17,Delhi,94.77,87.67
2025-09-17,Kolkata,105.41,92.02
2025-09-17,Mumbai,103.5,90.03
2025-09-16,Chennai,100.8,92.39
2025-09-16,Delhi,94.77,87.67
2025-09-16,Kolkata,105.41,92.02
2025-09-16,Mumbai,103.5,90.03
2025-09-15,Chennai,100.8,92.39
2025-09-15,Delhi,94.77,87.67
2025-09-15,Kolkata,105.41,92.02
2025-09-15,Mumbai,103.5,90.03
2025-09-14,Chennai,100.8,92.39
2025-09-14,Delhi,94.77,87.67
2025-09-14,Kolkata,105.41,92.02
2025-09-14,Mumbai,103.5,90.03
2025-09-13,Chennai,100.8,92.39
2025-09-13,Delhi,94.77,87.67
2025-09-13,Kolkata,105.41,92.02
2025-09-13,Mumbai,103.5,90.03
2025-09-12,Chennai,100.8,92.39
2025-09-12,Delhi,94.77,87.67
2025-09-12,Kolkata,105.41,92.02
2025-09-12,Mumbai,103.5,90.03
2025-09-11,Chennai,100.8,92.39
2025-09-11,Delhi,94.77,87.67
2025-09-11,Kolkata,105.41,92.02
2025-09-11,Mumbai,103.5,90.03
2025-09-10,Chennai,100.8,92.39
2025-09-10,Delhi,94.77,87.67
2025-09-10,Kolkata,105.41,92.02
2025-09-10,Mumbai,103.5,90.03
2025-09-09,Chennai,100.8,92.39
2025-09-09,Delhi,94.77,87.67
2025-09-09,Kolkata,105.41,92.02
2025-09-09,Mumbai,103.5,90.03
2025-09-08,Chennai,100.8,92.39
2025-09-08,Delhi,94.77,87.67
2025-09-08,Kolkata,105.41,92.02
2025-09-08,Mumbai,103.5,90.03
2025-09-07,Chennai,100.8,92.39
2025-09-07,Delhi,94.77,87.67
2025-09-07,Kolkata,105.41,92.02
2025-09-07,Mumbai,103.5,90.03
2025-09-06,Chennai,100.8,92.39
2025-09-06,Delhi,94.77,87.67
2025-09-06,Kolkata,105.41,92.02
2025-09-06,Mumbai,103.5,90.03
2025-09-05,Chennai,100.8,92.39
2025-09-05,Delhi,94.77,87.67
2025-09-05,Kolkata,105.41,92.02
2025-09-05,Mumbai,103.5,90.03
2025-09-04,Chennai,100.8,92.39
2025-09-04,Delhi,94.77,87.67
2025-09-04,Kolkata,105.41,92.02
2025-09-04,Mumbai,103.5,90.03
2025-09-03,Chennai,100.8,92.39
2025-09-03,Delhi,94.77,87.67
2025-09-03,Kolkata,105.41,92.02
2025-09-03,Mumbai,103.5,90.03
2025-09-02,Chennai,100.8,92.39
2025-09-02,Delhi,94.77,87.67
2025-09-02,Kolkata,105.41,92.02
2025-09-02,Mumbai,103.5,90.03
2025-09-01,Chennai,100.8,92.39
2025-09-01,Delhi,94.77,87.67
2025-09-01,Kolkata,105.41,92.02
2025-09-01,Mumbai,103.5,90.03
2025-08-31,Chennai,100.8,92.39
2025-08-31,Delhi,94.77,87.67
2025-08-31,Kolkata,105.41,92.02
2025-08-31,Mumbai,103.5,90.03
2025-08-30,Chennai,100.8,92.39
2025-08-30,Delhi,94.77,87.67
2025-08-30,Kolkata,105.41,92.02
2025-08-30,Mumbai,103.5,90.03
2025-08-29,Chennai,100.8,92.39
2025-08-29,Delhi,94.77,87.67
2025-08-29,Kolkata,105.41,92.02
2025-08-29,Mumbai,103.5,90.03
2025-08-28,Chennai,100.8,92.39
2025-08-28,Delhi,94.77,87.67
2025-08-28,Kolkata,105.41,92.02
2025-08-28,Mumbai,103.5,90.03
2025-08-27,Chennai,100.8,92.39
2025-08-27,Delhi,94.77,87.67
2025-08-27,Kolkata,105.41,92.02
2025-08-27,Mumbai,103.5,90.03
2025-08-26,Chennai,100.8,92.39
2025-08-26,Delhi,94.77,87.67
2025-08-26,Kolkata,105.41,92.02
2025-08-26,Mumbai,103.5,90.03
2025-08-25,Chennai,100.8,92.39
2025-08-25,Delhi,94.77,87.67
2025-08-25,Kolkata,105.41,92.02
2025-08-25,Mumbai,103.5,90.03
2025-08-24,Chennai,100.8,92.39
2025-08-24,Delhi,94.77,87.67
2025-08-24,Kolkata,105.41,92.02
2025-08-24,Mumbai,103.5,90.03
2025-08-23,Chennai,100.8,92.39
2025-08-23,Delhi,94.77,87.67
2025-08-23,Kolkata,105.41,92.02
2025-08-23,Mumbai,103.5,90.03
2025-08-22,Chennai,100.8,92.39
2025-08-22,Delhi,94.77,87.67
2025-08-22,Kolkata,105.41,92.02
2025-08-22,Mumbai,103.5,90.03
2025-08-21,Chennai,100.8,92.39
2025-08-21,Delhi,94.77,87.67
2025-08-21,Kolkata,105.41,92.02
2025-08-21,Mumbai,103.5,90.03
2025-08-20,Chennai,100.8,92.39
2025-08-20,Delhi,94.77,87.67
2025-08-20,Kolkata,105.41,92.02
2025-08-20,Mumbai,103.5,90.03
2025-08-19,Chennai,100.8,92.39
2025-08-19,Delhi,94.77,87.67
2025-08-19,Kolkata,105.41,92.02
2025-08-19,Mumbai,103.5,90.03
2025-08-18,Chennai,100.8,92.39
2025-08-18,Delhi,94.77,87.67
2025-08-18,Kolkata,105.41,92.02
2025-08-18,Mumbai,103.5,90.03
2025-08-17,Chennai,100.8,92.39
2025-08-17,Delhi,94.77,87.67
2025-08-17,Kolkata,105.41,92.02
2025-08-17,Mumbai,103.5,90.03
2025-08-16,Chennai,100.8,92.39
2025-08-16,Delhi,94.77,87.67
2025-08-16,Kolkata,105.41,92.02
2025-08-16,Mumbai,103.5,90.03
2025-08-15,Chennai,100.8,92.39
2025-08-15,Delhi,94.77,87.67
2025-08-15,Kolkata,105.41,92.02
2025-08-15,Mumbai,103.5,90.03
2025-08-14,Chennai,100.8,92.39
2025-08-14,Delhi,94.77,87.67
2025-08-14,Kolkata,105.41,92.02
2025-08-14,Mumbai,103.5,90.03
2025-08-13,Chennai,100.8,92.39
2025-08-13,Delhi,94.77,87.67
2025-08-13,Kolkata,105.41,92.02
2025-08-13,Mumbai,103.5,90.03
2025-08-12,Chennai,100.8,92.39
2025-08-12,Delhi,94.77,87.67
2025-08-12,Kolkata,105.41,92.02
2025-08-12,Mumbai,103.5,90.03
2025-08-11,Chennai,100.8,92.39
2025-08-11,Delhi,94.77,87.67
2025-08-11,Kolkata,105.41,92.02
2025-08-11,Mumbai,103.5,90.03
2025-08-10,Chennai,100.8,92.39
2025-08-10,Delhi,94.77,87.67
2025-08-10,Kolkata,105.41,92.02
2025-08-10,Mumbai,103.5,90.03
2025-08-09,Chennai,100.8,92.39
2025-08-09,Delhi,94.77,87.67
2025-08-09,Kolkata,105.41,92.02
2025-08-09,Mumbai,103.5,90.03
2025-08-08,Chennai,100.8,92.39
2025-08-08,Delhi,94.77,87.67
2025-08-08,Kolkata,105.41,92.02
2025-08-08,Mumbai,103.5,90.03
2025-08-07,Chennai,100.8,92.39
2025-08-07,Delhi,94.77,87.67
2025-08-07,Kolkata,105.41,92.02
2025-08-07,Mumbai,103.5,90.03
2025-08-06,Chennai,100.8,92.39
2025-08-06,Delhi,94.77,87.67
2025-08-06,Kolkata,105.41,92.02
2025-08-06,Mumbai,103.5,90.03
2025-08-05,Chennai,100.8,92.39
2025-08-05,Delhi,94.77,87.67
2025-08-05,Kolkata,105.41,92.02
2025-08-05,Mumbai,103.5,90.03
2025-08-04,Chennai,100.8,92.39
2025-08-04,Delhi,94.77,87.67
2025-08-04,Kolkata,105.41,92.02
2025-08-04,Mumbai,103.5,90.03
2025-08-03,Chennai,100.8,92.39
2025-08-03,Delhi,94.77,87.67
2025-08-03,Kolkata,105.41,92.02
2025-08-03,Mumbai,103.5,90.03
2025-08-02,Chennai,100.8,92.39
2025-08-02,Delhi,94.77,87.67
2025-08-02,Kolkata,105.41,92.02
2025-08-02,Mumbai,103.5,90.03
2025-08-01,Chennai,100.8,92.39
2025-08-01,Delhi,94.77,87.67
2025-08-01,Kolkata,105.41,92.02
2025-08-01,Mumbai,103.5,90.03
2025-07-31,Chennai,100.8,92.39
2025-07-31,Delhi,94.77,87.67
2025-07-31,Kolkata,105.41,92.02
2025-07-31,Mumbai,103.5,90.03
2025-07-30,Chennai,100.8,92.39
2025-07-30,Delhi,94.77,87.67
2025-07-30,Kolkata,105.41,92.02
2025-07-30,Mumbai,103.5,90.03
2025-07-29,Chennai,100.8,92.39
2025-07-29,Delhi,94.77,87.67
2025-07-29,Kolkata,105.41,92.02
2025-07-29,Mumbai,103.5,90.03
2025-07-28,Chennai,100.8,92.39
2025-07-28,Delhi,94.77,87.67
2025-07-28,Kolkata,105.41,92.02
2025-07-28,Mumbai,103.5,90.03
2025-07-27,Chennai,100.8,92.39
2025-07-27,Delhi,94.77,87.67
2025-07-27,Kolkata,105.41,92.02
2025-07-27,Mumbai,103.5,90.03
2025-07-26,Chennai,100.8,92.39
2025-07-26,Delhi,94.77,87.67
2025-07-26,Kolkata,105.41,92.02
2025-07-26,Mumbai,103.5,90.03
2025-07-25,Chennai,100.8,92.39
2025-07-25,Delhi,94.77,87.67
2025-07-25,Kolkata,105.41,92.02
2025-07-25,Mumbai,103.5,90.03
2025-07-24,Chennai,100.8,92.39
2025-07-24,Delhi,94.77,87.67
2025-07-24,Kolkata,105.41,92.02
2025-07-24,Mumbai,103.5,90.03
2025-07-23,Chennai,100.8,92.39
2025-07-23,Delhi,94.77,87.67
2025-07-23,Kolkata,105.41,92.02
2025-07-23,Mumbai,103.5,90.03
2025-07-22,Chennai,100.8,92.39
2025-07-22,Delhi,94.77,87.67
2025-07-22,Kolkata,105.41,92.02
2025-07-22,Mumbai,103.5,90.03
2025-07-21,Chennai,100.8,92.39
2025-07-21,Delhi,94.77,87.67
2025-07-21,Kolkata,105.41,92.02
2025-07-21,Mumbai,103.5,90.03
2025-07-20,Chennai,100.8,92.39
2025-07-20,Delhi,94.77,87.67
2025-07-20,Kolkata,105.41,92.02
2025-07-20,Mumbai,103.5,90.03
2025-07-19,Chennai,100.8,92.39
2025-07-19,Delhi,94.77,87.67
2025-07-19,Kolkata,105.41,92.02
2025-07-19,Mumbai,103.5,90.03
2025-07-18,Chennai,100.8,92.39
2025-07-18,Delhi,94.77,87.67
2025-07-18,Kolkata,105.41,92.02
2025-07-18,Mumbai,103.5,90.03
2025-07-16,Chennai,100.8,92.39
2025-07-16,Delhi,94.77,87.67
2025-07-16,Kolkata,105.41,92.02
2025-07-16,Mumbai,103.5,90.03
2025-07-15,Chennai,100.8,92.39
2025-07-15,Delhi,94.77,87.67
2025-07-15,Kolkata,105.41,92.02
2025-07-15,Mumbai,103.5,90.03
2025-07-14,Chennai,100.8,92.39
2025-07-14,Delhi,94.77,87.67
2025-07-14,Kolkata,105.41,92.02
2025-07-14,Mumbai,103.5,90.03
2025-07-13,Chennai,100.8,92.39
2025-07-13,Delhi,94.77,87.67
2025-07-13,Kolkata,105.41,92.02
2025-07-13,Mumbai,103.5,90.03
2025-07-12,Chennai,100.8,92.39
2025-07-12,Delhi,94.77,87.67
2025-07-12,Kolkata,105.41,92.02
2025-07-12,Mumbai,103.5,90.03
2025-07-11,Chennai,100.8,92.39
2025-07-11,Delhi,94.77,87.67
2025-07-11,Kolkata,105.41,92.02
2025-07-11,Mumbai,103.5,90.03
2025-07-10,Chennai,100.8,92.39
2025-07-10,Delhi,94.77,87.67
2025-07-10,Kolkata,105.41,92.02
2025-07-10,Mumbai,103.5,90.03
2025-07-09,Chennai,100.8,92.39
2025-07-09,Delhi,94.77,87.67
2025-07-09,Kolkata,105.41,92.02
2025-07-09,Mumbai,103.5,90.03
2025-07-08,Chennai,100.8,92.39
2025-07-08,Delhi,94.77,87.67
2025-07-08,Kolkata,105.41,92.02
2025-07-08,Mumbai,103.5,90.03
2025-07-07,Chennai,100.8,92.39
2025-07-07,Delhi,94.77,87.67
2025-07-07,Kolkata,105.41,92.02
2025-07-07,Mumbai,103.5,90.03
2025-07-06,Chennai,100.8,92.39
2025-07-06,Delhi,94.77,87.67
2025-07-06,Kolkata,105.41,92.02
2025-07-06,Mumbai,103.5,90.03
2025-07-05,Chennai,100.8,92.39
2025-07-05,Delhi,94.77,87.67
2025-07-05,Kolkata,105.41,92.02
2025-07-05,Mumbai,103.5,90.03
2025-07-04,Chennai,100.8,92.39
2025-07-04,Delhi,94.77,87.67
2025-07-04,Kolkata,105.41,92.02
2025-07-04,Mumbai,103.5,90.03
2025-07-03,Chennai,100.8,92.39
2025-07-03,Delhi,94.77,87.67
2025-07-03,Kolkata,105.41,92.02
2025-07-03,Mumbai,103.5,90.03
2025-07-02,Chennai,100.8,92.39
2025-07-02,Delhi,94.77,87.67
2025-07-02,Kolkata,105.41,92.02
2025-07-02,Mumbai,103.5,90.03
2025-07-01,Chennai,100.8,92.39
2025-07-01,Delhi,94.77,87.67
2025-07-01,Kolkata,105.41,92.02
2025-07-01,Mumbai,103.5,90.03
2025-06-30,Chennai,100.8,92.39
2025-06-30,Delhi,94.77,87.67
2025-06-30,Kolkata,105.41,92.02
2025-06-30,Mumbai,103.5,90.03
2025-06-29,Chennai,100.8,92.39
2025-06-29,Delhi,94.77,87.67
2025-06-29,Kolkata,105.41,92.02
2025-06-29,Mumbai,103.5,90.03
2025-06-28,Chennai,100.8,92.39
2025-06-28,Delhi,94.77,87.67
2025-06-28,Kolkata,105.41,92.02
2025-06-28,Mumbai,103.5,90.03
2025-06-27,Chennai,100.8,92.39
2025-06-27,Delhi,94.77,87.67
2025-06-27,Kolkata,105.41,92.02
2025-06-27,Mumbai,103.5,90.03
2025-06-26,Chennai,100.8,92.39
2025-06-26,Delhi,94.77,87.67
2025-06-26,Kolkata,105.41,92.02
2025-06-26,Mumbai,103.5,90.03
2025-06-25,Chennai,100.8,92.39
2025-06-25,Delhi,94.77,87.67
2025-06-25,Kolkata,105.41,92.02
2025-06-25,Mumbai,103.5,90.03
2025-06-24,Chennai,100.8,92.39
2025-06-24,Delhi,94.77,87.67
2025-06-24,Kolkata,105.41,92.02
2025-06-24,Mumbai,103.5,90.03
2025-06-23,Chennai,100.8,92.39
2025-06-23,Delhi,94.77,87.67
2025-06-23,Kolkata,105.41,92.02
2025-06-23,Mumbai,103.5,90.03
2025-06-22,Chennai,100.8,92.39
2025-06-22,Delhi,94.77,87.67
2025-06-22,Kolkata,105.41,92.02
2025-06-22,Mumbai,103.5,90.03
2025-06-21,Chennai,100.8,92.39
2025-06-21,Delhi,94.77,87.67
2025-06-21,Kolkata,105.41,92.02
2025-06-21,Mumbai,103.5,90.03
2025-06-20,Chennai,100.8,92.39
2025-06-20,Delhi,94.77,87.67
2025-06-20,Kolkata,105.41,92.02
2025-06-20,Mumbai,103.5,90.03
2025-06-19,Chennai,100.8,92.39
2025-06-19,Delhi,94.77,87.67
2025-06-19,Kolkata,105.41,92.02
2025-06-19,Mumbai,103.5,90.03
2025-06-18,Chennai,100.8,92.39
2025-06-18,Delhi,94.77,87.67
2025-06-18,Kolkata,105.41,92.02
2025-06-18,Mumbai,103.5,90.03
2025-06-17,Chennai,100.8,92.39
2025-06-17,Delhi,94.77,87.67
2025-06-17,Kolkata,105.41,92.02
2025-06-17,Mumbai,103.5,90.03
2025-06-16,Chennai,100.8,92.39
2025-06-16,Delhi,94.77,87.67
2025-06-16,Kolkata,105.41,92.02
2025-06-16,Mumbai,103.5,90.03
2025-06-15,Chennai,100.8,92.39
2025-06-15,Delhi,94.77,87.67
2025-06-15,Kolkata,105.41,92.02
2025-06-15,Mumbai,103.5,90.03
2025-06-14,Chennai,100.8,92.39
2025-06-14,Delhi,94.77,87.67
2025-06-14,Kolkata,105.41,92.02
2025-06-14,Mumbai,103.5,90.03
2025-06-13,Chennai,100.8,92.39
2025-06-13,Delhi,94.77,87.67
2025-06-13,Kolkata,105.41,92.02
2025-06-13,Mumbai,103.5,90.03
2025-06-12,Chennai,100.8,92.39
2025-06-12,Delhi,94.77,87.67
2025-06-12,Kolkata,105.41,92.02
2025-06-12,Mumbai,103.5,90.03
2025-06-11,Chennai,100.8,92.39
2025-06-11,Delhi,94.77,87.67
2025-06-11,Kolkata,105.41,92.02
2025-06-11,Mumbai,103.5,90.03
2025-06-10,Chennai,100.8,92.39
2025-06-10,Delhi,94.77,87.67
2025-06-10,Kolkata,105.41,92.02
2025-06-10,Mumbai,103.5,90.03
2025-06-09,Chennai,100.8,92.39
2025-06-09,Delhi,94.77,87.67
2025-06-09,Kolkata,105.41,92.02
2025-06-09,Mumbai,103.5,90.03
2025-06-08,Chennai,100.8,92.39
2025-06-08,Delhi,94.77,87.67
2025-06-08,Kolkata,105.41,92.02
2025-06-08,Mumbai,103.5,90.03
2025-06-07,Chennai,100.8,92.39
2025-06-07,Delhi,94.77,87.67
2025-06-07,Kolkata,105.41,92.02
2025-06-07,Mumbai,103.5,90.03
2025-06-06,Chennai,100.8,92.39
2025-06-06,Delhi,94.77,87.67
2025-06-06,Kolkata,105.41,92.02
2025-06-06,Mumbai,103.5,90.03
2025-06-05,Chennai,100.8,92.39
2025-06-05,Delhi,94.77,87.67
2025-06-05,Kolkata,105.41,92.02
2025-06-05,Mumbai,103.5,90.03
2025-06-04,Chennai,100.8,92.39
2025-06-04,Delhi,94.77,87.67
2025-06-04,Kolkata,105.41,92.02
2025-06-04,Mumbai,103.5,90.03
2025-06-03,Chennai,100.8,92.39
2025-06-03,Delhi,94.77,87.67
2025-06-03,Kolkata,105.41,92.02
2025-06-03,Mumbai,103.5,90.03
2025-06-02,Chennai,100.8,92.39
2025-06-02,Delhi,94.77,87.67
2025-06-02,Kolkata,105.41,92.02
2025-06-02,Mumbai,103.5,90.03
2025-06-01,Chennai,100.8,92.39
2025-06-01,Delhi,94.77,87.67
2025-06-01,Kolkata,105.41,92.02
2025-06-01,Mumbai,103.5,90.03
2025-05-31,Chennai,100.8,92.39
2025-05-31,Delhi,94.77,87.67
2025-05-31,Kolkata,105.41,92.02
2025-05-31,Mumbai,103.5,90.03
2025-05-30,Chennai,100.8,92.39
2025-05-30,Delhi,94.77,87.67
2025-05-30,Kolkata,105.41,92.02
2025-05-30,Mumbai,103.5,90.03
2025-05-29,Chennai,100.8,92.39
2025-05-29,Delhi,94.77,87.67
2025-05-29,Kolkata,105.41,92.02
2025-05-29,Mumbai,103.5,90.03
2025-05-28,Chennai,100.8,92.39
2025-05-28,Delhi,94.77,87.67
2025-05-28,Kolkata,105.41,92.02
2025-05-28,Mumbai,103.5,90.03
2025-05-27,Chennai,100.8,92.39
2025-05-27,Delhi,94.77,87.67
2025-05-27,Kolkata,105.41,92.02
2025-05-27,Mumbai,103.5,90.03
2025-05-26,Chennai,100.8,92.39
2025-05-26,Delhi,94.77,87.67
2025-05-26,Kolkata,105.41,92.02
2025-05-26,Mumbai,103.5,90.03
2025-05-25,Chennai,100.8,92.39
2025-05-25,Delhi,94.77,87.67
2025-05-25,Kolkata,105.41,92.02
2025-05-25,Mumbai,103.5,90.03
2025-05-24,Chennai,100.8,92.39
2025-05-24,Delhi,94.77,87.67
2025-05-24,Kolkata,105.41,92.02
2025-05-24,Mumbai,103.5,90.03
2025-05-23,Chennai,100.8,92.39
2025-05-23,Delhi,94.77,87.67
2025-05-23,Kolkata,105.41,92.02
2025-05-23,Mumbai,103.5,90.03
2025-05-22,Chennai,100.8,92.39
2025-05-22,Delhi,94.77,87.67
2025-05-22,Kolkata,105.41,92.02
2025-05-22,Mumbai,103.5,90.03
2025-05-21,Chennai,100.8,92.39
2025-05-21,Delhi,94.77,87.67
2025-05-21,Kolkata,105.41,92.02
2025-05-21,Mumbai,103.5,90.03
2025-05-20,Chennai,100.8,92.39
2025-05-20,Delhi,94.77,87.67
2025-05-20,Kolkata,105.41,92.02
2025-05-20,Mumbai,103.5,90.03
2025-05-19,Chennai,100.8,92.39
2025-05-19,Delhi,94.77,87.67
2025-05-19,Kolkata,105.41,92.02
2025-05-19,Mumbai,103.5,90.03
2025-05-18,Chennai,100.8,92.39
2025-05-18,Delhi,94.77,87.67
2025-05-18,Kolkata,105.41,92.02
2025-05-18,Mumbai,103.5,90.03
2025-05-17,Chennai,100.8,92.39
2025-05-17,Delhi,94.77,87.67
2025-05-17,Kolkata,105.41,92.02
2025-05-17,Mumbai,103.5,90.03
2025-05-16,Chennai,100.8,92.39
2025-05-16,Delhi,94.77,87.67
2025-05-16,Kolkata,105.41,92.02
2025-05-16,Mumbai,103.5,90.03
2025-05-15,Chennai,100.8,92.39
2025-05-15,Delhi,94.77,87.67
2025-05-15,Kolkata,105.41,92.02
2025-05-15,Mumbai,103.5,90.03
2025-05-14,Chennai,100.8,92.39
2025-05-14,Delhi,94.77,87.67
2025-05-14,Kolkata,105.41,92.02
2025-05-14,Mumbai,103.5,90.03
2025-05-13,Chennai,100.8,92.39
2025-05-13,Delhi,94.77,87.67
2025-05-13,Kolkata,105.41,92.02
2025-05-13,Mumbai,103.5,90.03
2025-05-12,Chennai,100.8,92.39
2025-05-12,Delhi,94.77,87.67
2025-05-12,Kolkata,105.41,92.02
2025-05-12,Mumbai,103.5,90.03
2025-05-11,Chennai,100.8,92.39
2025-05-11,Delhi,94.77,87.67
2025-05-11,Kolkata,105.01,91.82
2025-05-11,Mumbai,103.5,90.03
2025-05-10,Chennai,100.8,92.39
2025-05-10,Delhi,94.77,87.67
2025-05-10,Kolkata,105.01,91.82
2025-05-10,Mumbai,103.5,90.03
2025-05-09,Chennai,100.8,92.39
2025-05-09,Delhi,94.77,87.67
2025-05-09,Kolkata,105.01,91.82
2025-05-09,Mumbai,103.5,90.03
2025-05-08,Chennai,100.8,92.39
2025-05-08,Delhi,94.77,87.67
2025-05-08,Kolkata,105.01,91.82
2025-05-08,Mumbai,103.5,90.03
2025-05-07,Chennai,100.8,92.39
2025-05-07,Delhi,94.77,87.67
2025-05-07,Kolkata,105.01,91.82
2025-05-07,Mumbai,103.5,90.03
2025-05-06,Chennai,100.8,92.39
2025-05-06,Delhi,94.77,87.67
2025-05-06,Kolkata,105.01,91.82
2025-05-06,Mumbai,103.5,90.03
2025-05-05,Chennai,100.8,92.39
2025-05-05,Delhi,94.77,87.67
2025-05-05,Kolkata,105.01,91.82
2025-05-05,Mumbai,103.5,90.03
